name,price,link
宝马3系 2017款 320i M运动型,18.98万,https://www.guazi.com/Detail?clueId=115761925
路虎 揽胜星脉 2020款 P250 R-DYNAMIC S(进口),43.80万,https://www.guazi.com/Detail?clueId=115765332
奥迪Q5 2017款 40 TFSI 进取型,21.68万,https://www.guazi.com/Detail?clueId=115911944
大众 途锐 2010款 3.6 限量顶配版(进口),15.60万,https://www.guazi.com/Detail?clueId=113945182
五菱汽车 宏光MINI EV 2020款 自在款 磷酸铁锂,3.20万,https://www.guazi.com/Detail?clueId=115866069
雷克萨斯NX 2015款 300h 全驱 锋致版,27.30万,https://www.guazi.com/Detail?clueId=115168654
奔驰C级 2018款 C 200 旅行轿车(进口),27.25万,https://www.guazi.com/Detail?clueId=114599187
奔驰E级 2020款 改款 E 300 L 运动殊享版,44.50万,https://www.guazi.com/Detail?clueId=115480146
宝马X5 2017款 xDrive28i(进口),53.63万,https://www.guazi.com/Detail?clueId=114464623
奔驰CLA级 2017款 CLA 220 4MATIC(进口),21.90万,https://www.guazi.com/Detail?clueId=115834621
MINI 2011款 1.6L COOPER Fun,9.48万,https://www.guazi.com/Detail?clueId=115750308
凯迪拉克CT6 2021款 28T 时尚型,26.90万,https://www.guazi.com/Detail?clueId=114881416
沃尔沃S60 2012款 T5 舒适版(进口),8.90万,https://www.guazi.com/Detail?clueId=112277594
长城 风骏6 2017款 2.4L汽油四驱精英型4G69,8.30万,https://www.guazi.com/Detail?clueId=114854897
奥迪A6 2018款 3.0T allroad quattro(进口),42.00万,https://www.guazi.com/Detail?clueId=114013144
奔驰E级 2018款 E 200 L 运动型,32.80万,https://www.guazi.com/Detail?clueId=115429873
宝马3系 2021款 325i M运动套装,30.68万,https://www.guazi.com/Detail?clueId=113333377
保时捷Macan 2017款 Macan 2.0T,39.30万,https://www.guazi.com/Detail?clueId=115567187
宝马3系 2020款 改款 325Li M运动套装,32.50万,https://www.guazi.com/Detail?clueId=115201791
奔驰V级 2018款 V 260 L 尊贵加长版 国VI,56.20万,https://www.guazi.com/Detail?clueId=115913076
奔驰GLC级 2020款 改款 GLC 260 L 4MATIC 动感型,38.50万,https://www.guazi.com/Detail?clueId=114992752
奥迪A6L 2020款 45 TFSI 臻选动感型,38.28万,https://www.guazi.com/Detail?clueId=114276331
奔驰E级 2021款 E 300 L 时尚型,44.80万,https://www.guazi.com/Detail?clueId=115271372
日产 骐达 2011款 1.6L CVT智能型,5.00万,https://www.guazi.com/Detail?clueId=115828738
凯迪拉克ATS-L 2017款 28T 技术型,16.80万,https://www.guazi.com/Detail?clueId=115850202
别克GL8 2021款 陆上公务舱 652T 舒适型,23.88万,https://www.guazi.com/Detail?clueId=115182689
丰田 皇冠 2018款 2.0T 运动版,24.99万,https://www.guazi.com/Detail?clueId=115244189
比亚迪 唐 2019款 2.0T 自动智联尊贵型 5座 国VI,11.80万,https://www.guazi.com/Detail?clueId=115415980
长安轻型车 神骐F30 2018款 1.5L精英版短轴DAM15L,3.98万,https://www.guazi.com/Detail?clueId=115659192
路虎 揽胜运动版 2017款 3.0 V6 SC HSE(进口),65.80万,https://www.guazi.com/Detail?clueId=115878002
宝马5系 2012款 523Li 豪华型,16.00万,https://www.guazi.com/Detail?clueId=115109438
