name,price,link
雪佛兰 迈锐宝 2017款 1.5T 自动舒适版,8.09万,https://www.guazi.com/Detail?clueId=113966839
宝马5系 2018款 改款 530Li 尊享型 豪华套装,38.60万,https://www.guazi.com/Detail?clueId=115700179
奥迪Q2L 2018款 35TFSI 上市专享版 国VI,15.80万,https://www.guazi.com/Detail?clueId=114220999
Jeep 指南者 2017款 200T 自动家享版,9.80万,https://www.guazi.com/Detail?clueId=115818965
沃尔沃XC60 2019款 T5 四驱智逸版 国VI,27.48万,https://www.guazi.com/Detail?clueId=115219371
福田 图雅诺 2019款 2.5T E7（5.6米）6座4J25TC3,11.10万,https://www.guazi.com/Detail?clueId=115333348
大众 探岳 2019款 330TSI 四驱豪华型 国VI,17.80万,https://www.guazi.com/Detail?clueId=115291979
宝马5系 2018款 528Li 上市特别版,34.37万,https://www.guazi.com/Detail?clueId=114632878
奔驰C级 2020款 改款 C 200 旅行轿车(进口),30.50万,https://www.guazi.com/Detail?clueId=115736963
宝马X1 2016款 sDrive18Li 尊享型,16.90万,https://www.guazi.com/Detail?clueId=115330252
别克GL8 2018款 28T 豪华型 国VI,21.20万,https://www.guazi.com/Detail?clueId=114659258
宝马7系 2018款 730Li 领先型 卓越套装(进口),55.70万,https://www.guazi.com/Detail?clueId=115338929
奥迪A6L 2019款 45 TFSI 臻选致雅型,35.70万,https://www.guazi.com/Detail?clueId=114024512
MINI 2016款 1.5T COOPER,16.78万,https://www.guazi.com/Detail?clueId=112590342
